CODIGO;FANTASIA;ENDERECO;NUMERO;BAIRRO;LOCALIDADE
85;JARAGUA DO SUL;R ALFREDO CARLOS MEIER;375;CENTENARIO;JARAGUA DO SUL
48;JOACABA;R VEREADOR HAMILTON A. ROSSIN;576;CLARA ADELIA;JOACABA
91;JOINVILLE;RUA PORTUGAL;948;PROFIPO;JOINVILLE
14;LAGES;AV. DUQUE DE CAXIAS;1253;FREI ROGERIO;LAGES
94;MAFRA;R BEN HENRIQUE MAX 872 SALA 01;872;VILA NOVA;MAFRA
87;MARAVILHA;AVENIDA MARAVILHA;356;CENTRO;MARAVILHA
110;NAVEGANTES;RUA EDGAR NEGHERBON;101;MACHADOS;NAVEGANTES
102;SAO JOSE;RUA SAO VICENTE GALPAO 2;3;ARIRIU;PALHOCA
67;PALMITOS;RODOVIA SC 283 KM 153, 2;2;LINHA SANTA TEREZINHA;PALMITOS
70;PINHALZINHO;AV THEOBALDO SCHMATZ;543;DISTRITO INDUSTRIAL MACHADO;PINHALZINHO
123;PORTO UNIAO;RODOVIA BR 476 KM 223;223;COLONIA PASSOS DO IGUAÇU;PORTO UNIAO
73;RIO DO SUL;RUA DOS VEREADORES;440;ITOUPAVA;RIO DO SUL
19;CD SAO CRISTOVAO DO SUL;RDV BR 470 , KM 225;111;MONTE ALEGRE;SAO CRISTOVAO DO SUL
32;SAO LOURENCO DO OESTE;RUA MARIO PAGLIOSA;674;INDUSTRIAL;SAO LOURENCO DO OESTE
44;SAO MIGUEL DO OESTE;RUA DUQUE DE CAXIAS;3320;SAO JORGE;SAO MIGUEL DO OESTE
81;SEARA;RUA GEMIRA MARTELLO;07;INDUSTRIAL;SEARA
116;TIJUCAS;AV. COLEIRA;779;PRACA;TIJUCAS
119;TREZE TILIAS;RUA FREI BELMIRO BRONDANI;SN;CENTRO;TREZE TILIAS
117;TROMBUDO CENTRAL;AV ARTHUR MULLER;905;BOTAFOGO;TROMBUDO CENTRAL
111;TUBARAO;RUA SERGIO ARAUJO;943;SERTAO DOS CORREIAS;TUBARAO
58;VIDEIRA;ROD SC 355;S/N;DOIS PINHEIROS;VIDEIRA
45;XANXERE;ANGELO ALBINO FERRONATO;5029;PRIMO TACCA;XANXERE
125;XAXIM;RUA FRANCISCO JOSÉ MORAS;S/N;DR. ARI LUNARDI;XAXIM
145;ASSIS;RUA FERRUCIO CICILIATO;105;PORTAL DE SAO FRANCISCO;ASSIS
146;OURINHOS;RUA VICINAL 02;158;CHÁCARA SÃO SILVESTRE;OURINHOS
144;PRESIDENTE PRUDENTE;RUA ISABEL BECEGATO COSTA;86;JARDIM PLANALTO;PRESIDENTE PRUDENTE
90;SAO BENTO DO SUL;RUA DA URCA;970;BAIRRO URCA;SAO BENTO DO SUL
